lot_number,title,year,category,description,tags,status
95,2007 Chry seabring,2007,Cars & sedans,,Runs great,sold
96,2003 Hyundai Santa fe,2003,Trucks & SUVs,,No title,sold
97,2008 Pontiac G6,2008,Cars & sedans,,Drove in,sold
98,2012 Nissan rouge,2012,Trucks & SUVs,,Drove in,sold
99,2008 Honda odyssey,2008,Trucks & SUVs,,Drove in,sold
100,2016 Jeep,2016,Cars & sedans,,Runs great,sold
101,2001 Lincoln town car,2001,Cars & sedans,,Runs great,sold
102,2005 Dodge 3500 Cummins,2005,Trucks & SUVs,,Runs great,sold
103,1985 Dodge ram long bed,1985,Trucks & SUVs,,Rare,sold
104,2018 Chevy Silverado,2018,Trucks & SUVs,,Runs great,sold
105,1999 Chevy van,1999,Trucks & SUVs,,No key|Needs work,sold
106,Big Sky camper w/solar etc,,Boats & trailers,,No title,sold
107,2010 Merc mariner,2010,Cars & sedans,,Runs great,sold
108,1991 Buick century,1991,Cars & sedans,,Runs good,sold
109,2015 GMC sierra 2500HD,2015,Trucks & SUVs,,Runs great,sold
110,Utility trailer,,Boats & trailers,,,sold
111,Galion 10 ton Crane,,Equipment & machines,,Operational,sold
112,2016 Maserati,2016,Cars & sedans,,Runs great,sold
113,1986 boom truck,1986,Equipment & machines,,,sold
